loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_mse,eval_r2,eval_mae,eval_precision,eval_recall,eval_f1,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0413,0.36005476117134094,4.0007710100231307e-05,1.0,1297,,,,,,,,,,,,,,,,
,,,1.0,1297,0.011567640118300915,0.17073622345924377,0.31640398502349854,0.3938188850879669,0.9781931464174455,1.0,0.988976377952756,0.9938689499980929,18.5121,35.004,17.502,,,,,
0.0152,1.8755872249603271,3.0007710100231307e-05,2.0,2594,,,,,,,,,,,,,,,,
,,,2.0,2594,0.01840870827436447,0.16096815466880798,0.35551345348358154,0.38040441274642944,0.978125,0.9968152866242038,0.9873817034700315,0.9997520881803272,18.3906,35.235,17.618,,,,,
0.0116,2.0895519256591797,2.00077101002313e-05,3.0,3891,,,,,,,,,,,,,,,,
,,,3.0,3891,0.014107828959822655,0.16534213721752167,0.3380008339881897,0.38711419701576233,0.978125,0.9968152866242038,0.9873817034700315,0.9840049200961134,18.3654,35.284,17.642,,,,,
0.0107,0.1420532613992691,1.0007710100231302e-05,4.0,5188,,,,,,,,,,,,,,,,
,,,4.0,5188,0.01923506334424019,0.16722208261489868,0.3304738998413086,0.38714009523391724,0.9780564263322884,0.9936305732484076,0.985781990521327,0.9990560280712459,18.4006,35.216,17.608,,,,,
0.0087,1.1083751916885376,7.710100231303007e-09,5.0,6485,,,,,,,,,,,,,,,,
,,,5.0,6485,0.017303604632616043,0.16447502374649048,0.3414726257324219,0.3852255046367645,0.9780564263322884,0.9936305732484076,0.985781990521327,0.9996662725504405,18.4418,35.138,17.569,,,,,
,,,5.0,6485,,,,,,,,,,,,1615.9819,8.026,4.013,3412519748106240.0,0.017497387976488334
,,,5.0,6485,0.01840870827436447,0.16096815466880798,0.35551345348358154,0.38040441274642944,0.978125,0.9968152866242038,0.9873817034700315,0.9997520881803272,19.0818,33.959,16.98,,,,,
