loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_mse,eval_r2,eval_mae,eval_precision,eval_recall,eval_f1,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0362,0.29331594705581665,4.0007710100231307e-05,1.0,1297,,,,,,,,,,,,,,,,
,,,1.0,1297,0.008314007893204689,0.16403163969516754,0.3436482548713684,0.38498520851135254,0.9875776397515528,1.0,0.99375,0.9993901276920145,18.5115,35.005,17.503,,,,,
0.0166,13.526997566223145,3.0007710100231307e-05,2.0,2594,,,,,,,,,,,,,,,,
,,,2.0,2594,0.21418137848377228,0.24904011189937592,0.0034977197647094727,0.4710178077220917,0.6091954022988506,1.0,0.7571428571428571,0.7661473222793979,18.5145,35.0,17.5,,,,,
0.0142,0.46668240427970886,2.00077101002313e-05,3.0,3891,,,,,,,,,,,,,,,,
,,,3.0,3891,0.010472816415131092,0.1621873825788498,0.35102784633636475,0.3820446729660034,0.9875776397515528,1.0,0.99375,0.9957880693729749,18.3554,35.303,17.651,,,,,
0.0064,0.12516488134860992,1.0007710100231302e-05,4.0,5188,,,,,,,,,,,,,,,,
,,,4.0,5188,0.006162325385957956,0.1629878580570221,0.3478248119354248,0.3849402666091919,0.9937106918238994,0.9937106918238994,0.9937106918238994,0.9997998856489422,18.4502,35.122,17.561,,,,,
0.004,1.1199878454208374,7.710100231303007e-09,5.0,6485,,,,,,,,,,,,,,,,
,,,5.0,6485,0.005873185582458973,0.1609509140253067,0.3559754490852356,0.38199907541275024,0.9906542056074766,1.0,0.9953051643192489,0.999618829807509,18.4433,35.135,17.567,,,,,
,,,5.0,6485,,,,,,,,,,,,1613.8331,8.037,4.018,3412519748106240.0,0.015478616948300541
,,,5.0,6485,0.005873185582458973,0.1609509140253067,0.3559754490852356,0.38199907541275024,0.9906542056074766,1.0,0.9953051643192489,0.999618829807509,18.9278,34.235,17.118,,,,,
