loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_mse,eval_r2,eval_mae,eval_precision,eval_recall,eval_f1,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.036,0.3162180781364441,4.0007710100231307e-05,1.0,1297,,,,,,,,,,,,,,,,
,,,1.0,1297,0.012862028554081917,0.17315611243247986,0.3071378469467163,0.39871758222579956,0.9754601226993865,1.0,0.9875776397515528,0.9954450161997331,18.5412,34.949,17.475,,,,,
0.0149,1.0258225202560425,3.0007710100231307e-05,2.0,2594,,,,,,,,,,,,,,,,
,,,2.0,2594,0.012267237529158592,0.16543853282928467,0.3380187749862671,0.38850855827331543,0.9754601226993865,1.0,0.9875776397515528,0.9975509815132456,18.5271,34.976,17.488,,,,,
0.0118,0.3600439727306366,2.00077101002313e-05,3.0,3891,,,,,,,,,,,,,,,,
,,,3.0,3891,0.017863444983959198,0.1640501618385315,0.3435741662979126,0.38332194089889526,0.9754601226993865,1.0,0.9875776397515528,0.9946922050695636,18.4844,35.057,17.528,,,,,
0.0083,0.19990870356559753,1.0007710100231302e-05,4.0,5188,,,,,,,,,,,,,,,,
,,,4.0,5188,0.01206024456769228,0.1655895859003067,0.33741432428359985,0.38728901743888855,0.9784615384615385,1.0,0.9891135303265941,0.9981227368019822,18.4431,35.135,17.568,,,,,
0.0063,0.6467505693435669,7.710100231303007e-09,5.0,6485,,,,,,,,,,,,,,,,
,,,5.0,6485,0.013195783831179142,0.16334854066371918,0.34638160467147827,0.3841744065284729,0.9784615384615385,1.0,0.9891135303265941,0.9990756622832094,18.4364,35.148,17.574,,,,,
,,,5.0,6485,,,,,,,,,,,,1629.7613,7.958,3.979,3412519748106240.0,0.015447152754666718
,,,5.0,6485,0.013195783831179142,0.16334854066371918,0.34638160467147827,0.3841744065284729,0.9784615384615385,1.0,0.9891135303265941,0.9990756622832094,19.0769,33.968,16.984,,,,,
